HJD,Relative_Flux,Relative_Flux_Uncertainty,Accepted,phase
2453344.6546127,1.004145,0.008592,1,-0.03176142274756444
2453344.6547402,0.998127,0.008548,1,-0.03172524997671644
2453344.6548677,0.9902,0.00823,1,-0.03168907720584002
2453344.654995,0.990714,0.008599,1,-0.031652961110978595
2453344.6551226,1.004716,0.008411,1,-0.03161675993604263
2453344.6552499,0.992731,0.008467,1,-0.03158064384120962
2453344.6553773,1.001754,0.008423,1,-0.03154449947439275
2453344.6555047,1.001848,0.00859,1,-0.03150835510757588
2453344.6556322,1.000864,0.008547,1,-0.03147218220462378
2453344.6561541,1.0101,0.00823,1,-0.03132411500115495
2453344.6562815,1.009675,0.008599,1,-0.031287970502233975
2453344.6564089,1.000386,0.00841,1,-0.031251826135417105
2453344.6565363,1.003666,0.008466,1,-0.03121568163649613
2453344.6566638,0.985554,0.008421,1,-0.03117950886564813
2453344.6570461,0.995831,0.008591,1,-0.031071047229062287
2453344.6571735,0.995946,0.008474,1,-0.031034902862245417
2453344.6573009,1.003068,0.00816,1,-0.03099875836332444
2453344.6574284,0.998207,0.008868,1,-0.030962585592448022
2453344.6575558,0.998082,0.008076,1,-0.030926441225659573
2453344.6576832,0.998822,0.008654,1,-0.030890296726738597
2453344.6578106,1.00977,0.008188,1,-0.030854152359921727
2453344.6579381,0.994447,0.008425,1,-0.03081797958907373
2453344.6580655,0.994212,0.008409,1,-0.030781835090152754
2453344.6581929,1.005948,0.008132,1,-0.030745690723335883
2453344.6583204,1.004032,0.008059,1,-0.030709517952487886
2453344.6584478,1.00027,0.008645,1,-0.03067337345356691
2453344.6585752,1.000358,0.008173,1,-0.03063722908675004
2453344.6587027,0.987374,0.008424,1,-0.03060105631587362
2453344.6588301,0.998629,0.008405,1,-0.030564911816981066
2453344.6589575,0.98179,0.008129,1,-0.030528767450164196
2453344.659085,1.005909,0.008845,1,-0.030492594679287777
2453344.6592124,1.00953,0.008265,1,-0.0304564501803668
2453344.6593398,1.001307,0.008064,1,-0.030420305813578352
2453344.6594672,1.001394,0.008643,1,-0.030384161446761482
2453344.6595947,0.994202,0.008629,1,-0.030347988543780957
2453344.6597221,1.010476,0.008172,1,-0.03031184417699251
2453344.6598495,0.99745,0.008175,1,-0.030275699810175638
2453344.6601044,1.012307,0.008398,1,-0.030203382540406665
2453344.6602318,0.999367,0.008423,1,-0.030167238173589794
2453344.6603593,0.992136,0.008321,1,-0.03013106527060927
2453344.6604867,0.994844,0.008403,1,-0.0300949209037924
2453344.6609601,1.000748,0.008482,1,-0.029960613420541904
2453344.6610875,1.010861,0.008126,1,-0.029924469053753455
2453344.6612149,1.002477,0.008445,1,-0.02988832455483248
2453344.6613424,0.989122,0.00884,1,-0.02985215178395606
2453344.6614698,1.013788,0.008241,1,-0.02981600741716761
2453344.6615972,1.007533,0.008063,1,-0.029779862918246636
2453344.6617247,1.007469,0.008641,1,-0.029743690147370216
2453344.6618521,1.015251,0.008163,1,-0.029707545780553346
2453344.6619795,0.996842,0.008175,1,-0.029671401281660792
2453344.6621069,0.995146,0.008387,1,-0.02963525691484392
2453344.6622344,1.00544,0.008422,1,-0.029599084143967502
2453344.6623618,0.999906,0.008319,1,-0.029562939645046526
2453344.6624892,0.98474,0.008397,1,-0.029526795278258078
2453344.6626167,1.007962,0.008478,1,-0.02949062250738166
2453344.6627441,1.004876,0.008126,1,-0.029454478008460683
2453344.6628715,0.988889,0.00844,1,-0.029418333641672234
2453344.662999,0.998612,0.008834,1,-0.029382160870795815
2453344.6631264,1.012729,0.008238,1,-0.02934601637187484
2453344.6632538,1.011592,0.008059,1,-0.02930987200508639
